City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
314,Acajutla,SV,13.5928,-89.8275,79.7,64,22,8.1,few clouds
315,Tura,IN,25.5198,90.2201,71.29,71,100,3.38,overcast clouds
316,Bonavista,CA,48.6499,-53.1147,30.11,63,17,19.62,few clouds
317,Dombarovskiy,RU,50.7587,59.5386,26.67,92,100,6.85,overcast clouds
318,Arsk,RU,56.0915,49.8778,15.58,76,14,6.04,few clouds
319,Asau,RO,46.4333,26.4,33.96,83,99,2.68,overcast clouds
320,Krasnyy Chikoy,RU,50.3643,108.7512,26.82,65,25,0.65,scattered clouds
321,Tari,NG,12.4086,4.4914,67.32,20,73,8.16,broken clouds
322,Linxia,CN,35.6003,103.2064,36.97,38,66,1.16,broken clouds
323,Yar-Sale,RU,66.8333,70.8333,-8.88,85,97,16.02,overcast clouds
324,Erzin,TR,36.9559,36.2,45.12,47,0,3.78,clear sky
325,Omboue,GA,-1.5746,9.2618,74.91,93,100,5.3,light rain
326,Labuan,MY,5.2767,115.2417,86.11,79,20,5.99,few clouds
327,Yulara,AU,-25.2406,130.9889,93.04,24,0,6.91,clear sky
328,Necochea,AR,-38.5473,-58.7368,52.03,84,0,8.12,clear sky
329,Qurayyat,SA,31.3318,37.3428,42.98,70,0,2.3,clear sky
330,Victor Harbor,AU,-35.5667,138.6167,78.19,69,9,4.0,clear sky
331,Fermoy,IE,52.1358,-8.2758,45.84,88,94,14.61,overcast clouds
332,Bereda,ES,43.2686,-7.5406,50.0,100,98,4.63,overcast clouds
333,Sol-Iletsk,RU,51.1631,54.9918,31.39,97,100,5.97,overcast clouds
334,Lodja,CD,-3.4833,23.4333,72.36,93,100,0.74,overcast clouds
335,Mount Gambier,AU,-37.8333,140.7667,69.71,52,18,17.27,few clouds
336,Strezhevoy,RU,60.7333,77.5889,-9.02,99,80,3.85,broken clouds
337,Zeya,RU,53.75,127.2667,15.39,54,52,3.94,broken clouds
338,Gondanglegi,ID,-7.7479,112.0132,78.6,85,100,6.4,overcast clouds
339,Verkhoyansk,RU,67.5447,133.385,-20.94,98,100,1.68,overcast clouds
340,Maua,BR,-23.6678,-46.4614,69.37,84,97,3.85,light rain
341,Ust-Kuyga,RU,70.0167,135.6,-19.82,98,100,1.03,overcast clouds
342,Kenai,US,60.5544,-151.2583,25.14,94,90,6.91,light snow
